[INFO] [launch]: All log files can be found below /home/seeed/.ros/log/2026-07-02-12-46-40-468143-seeed-13174
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [pcd_ndt_localizer-1]: process started with pid [13209]
[pcd_ndt_localizer-1] [INFO] [1782967600.782593289] [pcd_ndt_localizer]: Loaded map /home/seeed/ros2/maps/replay/fastlio_map_from_raw_livox_20260702_113834.pcd raw=326503 filtered=12961 leaf=0.250
[pcd_ndt_localizer-1] [INFO] [1782967600.803619119] [pcd_ndt_localizer]: PCD NDT localization ready. map=/home/seeed/ros2/maps/replay/fastlio_map_from_raw_livox_20260702_113834.pcd points=12961
[pcd_ndt_localizer-1] [WARN] [1782967602.698017083] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4118 points=2390
[pcd_ndt_localizer-1] [WARN] [1782967603.708822789] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4529 points=2314
[pcd_ndt_localizer-1] [WARN] [1782967604.802642151] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.2925 points=2323
[pcd_ndt_localizer-1] [WARN] [1782967605.805798554] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3040 points=2321
[pcd_ndt_localizer-1] [WARN] [1782967606.809798441] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4578 points=2285
[pcd_ndt_localizer-1] [WARN] [1782967607.907775505] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4430 points=2312
[pcd_ndt_localizer-1] [WARN] [1782967609.002382667] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.6810 points=2355
[pcd_ndt_localizer-1] [WARN] [1782967610.006448348] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3166 points=2371
[pcd_ndt_localizer-1] [WARN] [1782967611.102416611] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4411 points=2332
[pcd_ndt_localizer-1] [WARN] [1782967612.114024807] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3268 points=2376
[pcd_ndt_localizer-1] [WARN] [1782967613.209531295] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3683 points=2233
[pcd_ndt_localizer-1] [WARN] [1782967614.306202940] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4521 points=2305
[pcd_ndt_localizer-1] [WARN] [1782967615.409060897] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3476 points=2356
[pcd_ndt_localizer-1] [WARN] [1782967616.411595809] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.2163 points=2363
[pcd_ndt_localizer-1] [WARN] [1782967617.507572680] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4374 points=2312
[pcd_ndt_localizer-1] [WARN] [1782967618.605060832] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.3414 points=2291
[pcd_ndt_localizer-1] [WARN] [1782967619.609839560] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5526 points=2323
[pcd_ndt_localizer-1] [WARN] [1782967620.701630343] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.4219 points=2277
[pcd_ndt_localizer-1] [WARN] [1782967621.707795612] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=2.5329 points=2267
